source_url,recipe_name,ingredients,instructions
https://www.bbcgoodfood.com/recipes/brown-crab-garlic-spaghetti,Brown crab & garlic spaghetti,"200g spaghetti
50g salted butter
1 shallot finely sliced
3 garlic cloves grated
100g brown crab
30g parmesan grated, plus extra to serve
10g chives finely chopped (optional)","Cook the pasta in salted water following pack instructions. Melt the butter in a large frying pan over a medium heat. Once foaming, stir in the shallot with a pinch of salt and a few twists of black pepper. Cook for 5-6 mins until softened and lightly golden, then turn the heat to low.
Move the pasta straight from the water into the frying pan, then stir in the crab, a ladleful of pasta water and the parmesan. Mix very thoroughly, tossing well and adding more pasta water if needed, until glossy.
Serve with more parmesan and a sprinkling of black pepper and chives, if you like."
https://www.bbcgoodfood.com/premium/electric-lemonade,Electric lemonade,"ice
50ml vodka
75ml lemon &amp; lime sparkling drink
soda water for topping up (optional)
25ml blue curaçao
maraschino cherry and lemon slice, to garnish","Fill a tall tumbler or collins glass with ice. Pour in the vodka and lemon & lime sparkling drink, and top up with some soda water, if you like. Or, top up with a little more of the lemon & lime drink.
Pour over the blue curaçao, garnish with the cherry and lemon slice, then serve."
https://www.simplyrecipes.com/turkish-pasta-recipe-11751115,This Viral Turkish Pasta Recipe Is a Keeper (It’s So Delicious),"1cupplain whole-milk Greek yogurt
1cupplain whole-milk Greek yogurt
2 to 3clovesgarlic, finely grated
2 to 3clovesgarlic, finely grated
2teaspoonskosher salt, divided
2teaspoonskosher salt, divided
4tablespoonsunsalted butter
4tablespoonsunsalted butter
1tablespoontomato paste
1tablespoontomato paste
1teaspoonred pepper flakes
1teaspoonred pepper flakes
1pound80% lean ground beef
1pound80% lean ground beef
1/2cupfinely chopped white oryellow onion
1/2cupfinely chopped white oryellow onion
1teaspoonfreshlyground black pepper
1teaspoonfreshlyground black pepper
1pounddried pasta, preferably conchiglie, mezze rigatoni, or cavatappi
1pounddried pasta, preferably conchiglie, mezze rigatoni, or cavatappi
1/2cuproughly choppedfresh parsley
1/2cuproughly choppedfresh parsley","Make the garlic-yogurt sauce:In a small bowl, stir together the yogurt, grated garlic, and 1/2 teaspoon salt until well combined. Set aside.
In a small bowl, stir together the yogurt, grated garlic, and 1/2 teaspoon salt until well combined. Set aside.
Make the tomato butter:Melt the butter in a large frying pan over medium heat. Once melted, add the tomato paste and red pepper flakes and stir well. Cook, stirring often, until the tomato paste starts to stick to the bottom of the pan and the butter has taken on a red color, about 2 minutes.Transfer the tomato butter to a small bowl. Carefully wipe out the pan with a paper towel to remove the residual butter and tomato paste; there’s no need for it to be perfectly clean.
Melt the butter in a large frying pan over medium heat. Once melted, add the tomato paste and red pepper flakes and stir well. Cook, stirring often, until the tomato paste starts to stick to the bottom of the pan and the butter has taken on a red color, about 2 minutes.
Transfer the tomato butter to a small bowl. Carefully wipe out the pan with a paper towel to remove the residual butter and tomato paste; there’s no need for it to be perfectly clean.
Brown the beef:Set the wiped out frying pan over medium-high heat and add the ground beef and onions. Season with 1 1/2 teaspoons salt and the pepper and cook, breaking up the meat with a spatula and stirring it often, until the beef is no longer pink and becoming crispy, about 10 minutes.
Set the wiped out frying pan over medium-high heat and add the ground beef and onions. Season with 1 1/2 teaspoons salt and the pepper and cook, breaking up the meat with a spatula and stirring it often, until the beef is no longer pink and becoming crispy, about 10 minutes.
Meanwhile, cook the pasta:While the beef is cooking, bring a large, covered pot of water to a boil over high heat. Once the water is boiling, season with plenty of salt and cook the pasta to al dente according to the package instructions. Drain well in a colander or sieve.
While the beef is cooking, bring a large, covered pot of water to a boil over high heat. Once the water is boiling, season with plenty of salt and cook the pasta to al dente according to the package instructions. Drain well in a colander or sieve.
Assemble and serve:Portion the pasta onto serving plates. Top each portion equally with the yogurt sauce, beef, and a generous drizzle of the tomato butter. Sprinkle with plenty of the chopped parsley and serve immediately.If you have leftovers of the beef, tomato butter, or yogurt, store them individually in airtight containers in the refrigerator for up to 4 days. Warm the beef and tomato butter before serving over freshly cooked pasta.Love the recipe? Leave us stars and a comment below!
Portion the pasta onto serving plates. Top each portion equally with the yogurt sauce, beef, and a generous drizzle of the tomato butter. Sprinkle with plenty of the chopped parsley and serve immediately.
If you have leftovers of the beef, tomato butter, or yogurt, store them individually in airtight containers in the refrigerator for up to 4 days. Warm the beef and tomato butter before serving over freshly cooked pasta.
Love the recipe? Leave us stars and a comment below!
Dinners
Most Recent
Easy Dinners
Pastas
News & Trends"
https://www.bonappetit.com/recipe/jalapeno-popper-skillet-tacos,Jalapeño Popper Skillet Tacos,"12 oz. pepper jack cheese, coarsely grated (about 3 cups), divided
4 tsp. all-purpose flour
1 medium red onion, cut into 1""-thick wedges, layers separated
4 medium poblano chiles, halved, ribs and seeds removed, cut into 1""-wide strips
3 jalapeños, thinly sliced into strips
Extra-virgin olive oil (for drizzling)
Kosher salt
8 oz. cream cheese, room temperature, cut into large pieces
Freshly ground pepper
Small flour tortillas, cilantro leaves with tender stems, and lime wedges (for serving)","Place a rack in upper third of oven; preheat to 450°. Set 1 cup coarsely grated pepper jack cheese aside. Place remaining 2 cups coarsely grated pepper jack cheese in a large bowl, add 4 tsp. all-purpose flour, and toss until completely coated.
Place 1 medium red onion, cut into 1""-thick wedges, layers separated, 4 medium poblano chiles, halved, ribs and seeds removed, cut into 1""-wide strips, and 3 jalapeños, thinly sliced into strips, in a medium ovenproof skillet. Drizzle lightly with extra-virgin olive oil and season with kosher salt; toss to coat. Roast in oven until tender and blistered in spots, 20–25 minutes. Remove from oven and heat broiler (on high if your oven has options).
Meanwhile, heat ½ cup water in a medium saucepan over medium-high until starting to bubble at the edges. Reduce heat to medium, then add 8 oz. cream cheese, room temperature, cut into large pieces, and cook, whisking constantly, until smooth and combined, about 1 minute. Add coated pepper jack cheese and cook, whisking constantly and vigorously, until cheese is melted and sauce is smooth and homogeneous, about 3 minutes. (Sauce will thicken as it cools; reheat briefly, whisking, before the next step if needed.)
Pour sauce over onion mixture. Sprinkle reserved pepper jack cheese on top. Broil until bubbling and blistered in spots, about 3 minutes. Season with freshly ground pepper.
Serve cheesy onion mixture with small flour tortillas, cilantro leaves with tender stems, and lime wedges for building tacos."
https://www.bonappetit.com/recipe/grilled-purple-sweet-potato-salad,Grilled Purple Sweet Potato Salad,"2 lb. purple sweet potatoes, peeled
½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt, plus more
1 Tbsp. white sesame seeds, plus more for serving
1 garlic clove, finely grated
½ cup mayonnaise
1 Tbsp. finely grated lemon zest
1 Tbsp. soy sauce
1 tsp. freshly ground pepper
1 tsp. sugar
1 tsp. toasted sesame oil
2 Tbsp. extra-virgin olive oil
Thinly sliced scallions (for serving)","Place 2 lb. purple sweet potatoes, peeled, in a large pot and pour in water to cover. Season with kosher salt and bring to a simmer; cook until almost tender, 18–25 minutes. Drain and let sit until dry and cool enough to handle. Slice in half lengthwise and place on a rimmed baking sheet.
Meanwhile, toast 1 Tbsp. white sesame seeds in a dry small skillet over medium, stirring occasionally, until deep golden brown, 5–7 minutes. Transfer to a mortar and pestle and let cool. Coarsely crush sesame seeds. (Alternatively, you can smash with the side of a chef’s knife or with a heavy skillet.)
Stir together 1 garlic clove, finely grated, ½ cup mayonnaise, 1 Tbsp. finely grated lemon zest, lemon juice, 1 Tbsp. soy sauce, 1 tsp. freshly ground pepper, 1 tsp. sugar, 1 tsp. toasted sesame oil, ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt, and crushed sesame seeds in a small bowl.
Prepare a grill for medium-high heat. Drizzle 2 Tbsp. extra-virgin olive oil over sweet potatoes, season with salt, and turn to coat. Grill, cut sides down, until deeply charred underneath, 8–10 minutes.
Transfer sweet potatoes to a platter, arranging cut sides up. Using a fork, lightly crush. Spoon dressing over and top with sesame seeds and thinly sliced scallions."
https://www.bonappetit.com/recipe/bicycle-bandit,Bicycle Bandit,"1 oz. gin
½ oz. Campari
Grapefruit soda (such as San Pellegrino Pompelmo; for serving)
Lemon wedge (for serving)",Stir 1 oz. gin and ½ oz. Campari in a tall glass filled with ice until cold. Top off with grapefruit soda and garnish with lemon wedge.
https://www.bonappetit.com/recipe/zucchini-fries,Zucchini Fries With Herby Yogurt Dip,"2 large zucchini (about 1¼ lb.), trimmed
Zest of 1 lemon, plus more for serving
½ cup labneh or plain whole-milk Greek yogurt
¼ cup finely chopped tender herbs (such as dill, parsley, and/or basil), plus more for serving
1½ tsp. plus 1 Tbsp. Diamond Crystal or 2¾ tsp. kosher salt, divided, plus more
Freshly ground pepper
¾ cup all-purpose flour
3 large eggs
1½ cups panko
1½ oz. Parmesan, finely grated (about ¾ cup)
2¼ tsp. dried oregano
2¼ tsp. garlic powder
Vegetable oil (2–3 cups if frying; ½ cup if baking) or nonstick vegetable oil spray (if air-frying)
A deep-fry thermometer (optional)","Cut 2 large zucchini (about 1¼ lb.), trimmed, in half crosswise. Cut each section in half lengthwise to get four quarters. Halve each quarter lengthwise to create 16 sticks total.
Stir zest of 1 lemon, ½ cup labneh or plain whole-milk Greek yogurt, ¼ cup finely chopped tender herbs (such as dill, parsley, and/or basil), 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt, a large pinch of freshly ground pepper, and 2 Tbsp. water in a small bowl until smooth. Cover herby yogurt and chill.
Whisk ¾ cup all-purpose flour and ¼ tsp. Diamond Crystal or Morton kosher salt in a shallow bowl to combine. Lightly whisk 3 large eggs and ¼ tsp. Diamond Crystal or Morton kosher salt in another shallow bowl. Place 1½ cups panko in a third shallow bowl. Using your hands or a measuring cup, crush panko into slightly finer pieces (you don’t need an even consistency, just some finer and coarser bits). Add 1½ oz. Parmesan, finely grated (about ¾ cup), 2¼ tsp. dried oregano, 2¼ tsp. garlic powder, 1 Tbsp. Diamond Crystal or 1¾ tsp. Morton kosher salt, and a large pinch of freshly ground pepper to panko; mix to combine.
Working with a few pieces at a time, dredge zucchini sticks in flour, shaking off excess. Dip in egg, letting excess drip back into bowl, then coat in panko mixture, pressing gently to adhere. Transfer to a wire rack set inside large rimmed baking sheet.
If frying: Pour vegetable oil into a medium high-sided skillet fitted with thermometer to come ¾"" up sides (2–3 cups) and heat over medium-high until thermometer registers 350°. Working in batches and bringing oil back up to 350° between batches, fry zucchini in a single layer, turning occasionally, until golden brown and crisp on all sides, about 3 minutes. Transfer zucchini fries back to wire rack; lightly season with salt. If baking: Place a rack in lower third of oven and set a rimmed baking sheet on rack; preheat to 400°. When oven is hot (or after 10 minutes), carefully pour ½ cup vegetable oil onto hot baking sheet, carefully tilting baking sheet to coat evenly. Arrange zucchini, flat side down, on baking sheet in a single layer. Bake, turning halfway through, until golden brown and crisp, 30–35 minutes. Lightly season zucchini fries with salt. If air-frying: Heat air fryer to 400°. Generously coat air fryer basket with nonstick vegetable oil spray. Working in batches if needed, arrange zucchini in basket in a single layer and cook until golden brown and crisp on top, 6–8 minutes. Turn zucchini and coat with nonstick spray. Cook until brown and crisp on other side 6–8 minutes. Lightly season zucchini fries with salt.
Transfer zucchini fries to a large plate or platter. Uncover herby yogurt and top with more herbs and lemon zest. Serve with zucchini fries for dipping."
https://www.epicurious.com/recipes/food/views/crushed-lentils-with-tahini-and-soft-boiled-eggs,Crushed Lentils With Tahini & Soft-Boiled Eggs (Adas Medames),"2 large eggs (optional)
1⁄4 cup/60 ml olive oil, plus more to finish
3 garlic cloves, peeled and crushed to a paste
1 green chile, finely chopped
1 tsp. ground cumin
1 x 14-oz./400-g can of beluga/brown lentils, drained and rinsed (12 oz./330g)
3 medium tomatoes, peeled and cut into ½""/1cm dice (10½ oz./300g), divided
1 cup/20g fresh cilantro leaves, roughly chopped, plus more whole leaves for serving
1⁄4 cup/60g tahini paste
3 Tbsp. lemon juice
5 Tbsp./70ml water
1¼ tsp. salt
Black pepper
Sumac onions and pan-fried turmeric bread or pita, for serving","Place 2 large eggs (if using) in a small saucepan, cover with water, and cook for 10 minutes from cold. Drain and set aside until cool enough to touch, then peel the eggs and cut them into halves, lengthwise.
Put 1⁄4 cup/60 ml olive oil into a medium sauté pan and place over medium-high heat. Add 3 garlic cloves, peeled and crushed to a paste, 1 green chile, finely chopped, and 1 tsp. ground cumin and cook for a minute, until fragrant. Add one 14-oz./400-g can of beluga/brown lentils, drained and rinsed (12 oz./330g), 2 medium tomatoes, peeled and cut into ½""/1cm dice (7 oz./200g), and 1 cup/20g fresh cilantro leaves, roughly chopped, and cook, stirring, for a couple of minutes, then add 1⁄4 cup/60g tahini paste, 3 Tbsp. lemon juice, 5 Tbsp./70ml water, 1¼ tsp. salt, and a good grind of black pepper.
Turn the heat down to medium and cook gently, stirring, for about 5 minutes, or until hot and thickened. Roughly mash the lentils with a potato masher, so that some are broken and some remain whole.
Serve in individual bowls, with half an egg (2 if serving as a main), some sumac onions, remaining 1 medium tomato, peeled and cut into ½""/ 1cm dice (3.5 oz./100g), the whole cilantro leaves, and pan-fried turmeric bread or pita. Finish with a generous drizzle of olive oil."
https://www.epicurious.com/recipes/food/views/spinach-ramen-gratin,Spinach Ramen Gratin,"1 cup (240 ml) milk
1 Tbsp. cornstarch
½ cup (70 g) frozen spinach, broken up
¾ cup (60 g) shredded mozzarella, divided
One 3½–4½-oz. (100–125-g) packet instant ramen, noodle cake broken into large chunks","Preheat the oven to 400ºF [200ºC].
In an 8"" baking dish, add 1 cup [240 ml] milk, 1 Tbsp. cornstarch, ½ cup [70 g] frozen spinach, broken up, ¼ cup [20 g] mozzarella, the seasoning sachet, and noodles from one 3½–4½-oz. [100–125-g] packet instant ramen, noodle cake broken into large chunks. Stir until combined, ensuring the noodle chunks are all at least partially submerged. Top with the remaining ½ cup [40 g] mozzarella.
Bake for 20 minutes or until the cheese has browned. Serve immediately."
https://www.delish.com/cooking/recipe-ideas/a65383084/korean-corn-dogs-recipe/,Korean Corn Dog,"1 3/4 c. (210 g.) all purpose flour
2 tbsp. granulated sugar, plus more for sprinkling
1 (1/4-oz.) package instant yeast
1/2 tsp. kosher salt
1 c. water
Vegetable oil, for frying (3 to 4 cups)
4 beef hot dogs
4 cheese sticks (optional)
1 1/2 c. panko bread crumbs
2 cups chopped frozen fries, crumbled ramen, and/or crushed cornflakes (optional)
Ketchup and yellow mustard, for topping","In a large bowl, whisk flour, granulated sugar, yeast, and salt until fully combined. Fold in water until a sticky, stiff batter forms. Cover bowl with plastic wrap and place in a warm place to proof until doubled in size, about 1 hour.
Into a large Dutch oven or deep cast-iron skillet fitted with a deep-fry or instant-read thermometer, pour oil to a depth of 2"". Heat over medium-high heat until thermometer registers 325º.
Thread hot dogs on 4 skewers or chopsticks. (If you’re making cheese dogs, slice cheese sticks and hot dogs in half. Thread one hot dog half, then one cheese half onto skewers.) Place panko and any desired toppings on 2 separate plates.
Coat hot dogs in flour mixture, slowly spinning skewer and, using wet fingers, making sure entire dog is covered in batter. Roll dogs in desired toppings, then in panko, sprinkling with more if needed.
Immediately fry coated hot dog, turning occasionally, until deeply golden brown, 3 to 4 minutes. Transfer fried dog to a paper towel-lined plate. Repeat with remaining ingredients.
Sprinkle dogs with granulated sugar on all sides, then drizzle with ketchup and mustard.<br>"
